index,text,label
0,"acest document mi-a deschis cu adevarat ochii la ceea ce oamenii din afara statelor unite s-au gandit la atacurile din 11 septembrie. acest film a fost construit in mod expert si prezinta acest dezastru ca fiind mai mult decat un atac asupra pamantului american. urmarile acestui dezastru sunt previzionate din multe tari si perspective diferite. cred ca acest film ar trebui sa fie mai bine distribuit pentru acest punct. de asemenea, el ajuta in procesul de vindecare sa vada in cele din urma altceva decat stirile despre atacurile teroriste. si unele dintre piese sunt de fapt amuzante, dar nu abuziv asa. acest film a fost extrem de recomandat pentru mine, si am trecut pe acelasi sentiment.",1
1,"tine mancarea rece. ce altceva ii mai trebuie?
am frigiderul de vreun an, utilizare continua.
zgomotul e decent spre scazut daca esti in aceeasi incapere cu el. nu il auzi din dormitory cu usile inchise.
e un frigider ce sa zici despre el?
o sa tina mancarea rece, la temperaturile indicate. recomand sa spalati bine dispenserul de lichide dupa utilizare ca sa nu se contamineze apa. da asta e de bun simt: d",1
2,"excelent
recomand!",1
3,"ca un rocker imbatranit, acest film mentioneaza heep and quo - cele doua trupe preferate ale mele vreodata - dar cu o distributie incredibila (toata lumea) - si povestea fantastica - imi place doar aceasta piesa de geniu creativ. nu-l pot recomanda mai mult - si mick jones a adaugat atat de mult (leaderul si scriitorul principal alaturi de cel mai mare cantaret rock - lou gramm) - am vazut aceasta mare lucrare mai mult de 10 ori - bill nighy - ce voce - si jimmy nail - talentul risipeste de la fiecare pori - apoi astrid .... si karen ..... ce mai mult ar putea cere un rocker de imbatranire! 10/10 - sange stralucitor. alastair, perth, western oz, originar din windsor, anglia.",1
4,"ei bine, a facut o groaza veche si foarte intunecata in casa. setare buna, care include personajul lui poe, el insusi, facand referire la poveste intr-un pub din londra. desi de aici este destul de mult un tip care a luat indrazneala sa viziteze casa intr-o noapte speciala care ruleaza din camera in camera, fie cauta sau evita oameni, este inca cea mai placuta. in plus, avem incantatoarea si enigmatica barbara steele. exista un dialog din lemn si niste biti si boboci inexplicabili, dar este atmosfera super-infioratoare, care este mentinuta pe tot parcursul, si scorul super-muzical care il pastreaza pe acesta intr-o miscare frumoasa. dvd-ul provine din sua si are cateva extra",1
5,"in timp ce povestea principala ar trebui sa aiba loc in maroc, acest film a fost impuscat in romania in ceata in 18 zile pe un buget foarte restrans. cu toate acestea, cartile lor ar putea fi rupte, actorii si echipajul ii vor juca cu o indemanare si un angajament remarcabil, astfel incat, in cele din urma, am gasit rezultatul atit de emotionant, cit si de gratios. nikolaj coaster-waldau ofera o performanta formidabila ca tipul rau. scenariul si directia ofera unele pietre. indiferent daca va place sau nu filmul, cu toate acestea, va depinde, probabil, de tine pe alexandra staden in rolul principal. alti comentatori au subliniat inadvertentele lui staden ca modesty blaise. s-ar putea sa aiba un punct, dar am gasit interpretarea ei incantatoare si foarte potrivita. modesty reuseste sa depaseasca cotele teribile prin disciplina, talent innascut si curaj. staden pare sa faca acelasi lucru aici.",1
6,"acesta este singurul film pe care l-am vazut pe printul, dar nu conteaza. si m-am gandit ca a fost grozav la cantatul baiat a fost gresit. aceasta este probabil cea mai buna performanta. muzica e minunata. de aceea a castigat oscarul in 1984 pentru cea mai buna muzica intr-un film (sau ceva de genul asta). acum are un oscar si grammies sub centura. desi blestemul ajunge in cale cu filmul (asigurati-va ca nu aveti copii mici sau in camera). nu sunt prea multe de spus fara a dezvalui complotul. ar trebui sa iesiti cu adevarat si sa obtineti acest film colectia dvs. nu este completa decat daca ati primit acest film in ea. ce altceva as putea spune, cu exceptia cazului in care mergeti si obtineti acest film acum!",1
7,o comedie obligatoriu de vazut de la mine are nota 9.,1
8,"foarte multumit
un ssd care se ridica la nivelul asteptarilor. primul ssd nu a mai fost recunoscut dupa circa o luna de laptop, a fost inlocuit dupa ce a fost plimbat de la cluj-napoca la bucuresti de doua ori, dupa o discutie cu managerul din showroom-ul din cluj-napoca.",1
9,"excelent
foarte bun, cu siguranta a meritat sa renunt la android.",1
10,"make it possible
the best buy! in primul rand nu va uitati ca un telefon facut de chinezi (cum spun alti ""ce-i cu chinezaria asta"" cei neinformati )
telefonu acesta rupe!! nu mas intoarce niciodata la samsung
1. bateria tine 1 zi de utilizare intensa
2. camera e oke (se putea si mai bine macar sa aiba digital stabilization ) 8 mp pe fata e bine de avea diafragma 1.9 sa patrunda mai multa lumine, dar ma multumesc si cu atat)
4. la jocuri se descurca bine
5. emui 4,1 cel tare interfata, optimizata!
6. contra deaocamdata nimica!",1
